[2025-09-06T10:05:57.117Z] [INFO] Processing file: drug-label-0001-of-0013.json
[2025-09-06T10:05:57.126Z] [ERROR] Error in uncaught exception: The "chunk" argument must be of type string or an instance of Buffer, TypedArray, or DataView. Received an instance of Object
[2025-09-06T13:06:50.605050] [INFO] Starting FDA drug label processing with Python
[2025-09-06T13:06:50.605675] [INFO] Found 13 JSON files to process
[2025-09-06T13:06:50.605766] [INFO] 
=== Processing file 1/13: drug-label-0001-of-0013.json ===
[2025-09-06T13:06:53.911644] [INFO] Processing chunk 160/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.911767] [INFO] Processing chunk 161/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.911892] [INFO] Processing chunk 162/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.912003] [INFO] Processing chunk 163/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.912119] [INFO] Processing chunk 164/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.912239] [INFO] Processing chunk 165/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.912422] [INFO] Processing chunk 166/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.912538] [INFO] Processing chunk 167/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.912681] [INFO] Processing chunk 168/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.912846] [INFO] Processing chunk 169/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.912975] [INFO] Processing chunk 170/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.913114] [INFO] Processing chunk 171/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.913257] [INFO] Processing chunk 172/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.913374] [INFO] Processing chunk 173/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.913491] [INFO] Processing chunk 174/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.913610] [INFO] Processing chunk 175/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.913736] [INFO] Processing chunk 176/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.913856] [INFO] Processing chunk 177/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.913960] [INFO] Processing chunk 178/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.914075] [INFO] Processing chunk 179/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.914186] [INFO] Processing chunk 180/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.914300] [INFO] Processing chunk 181/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.914419] [INFO] Processing chunk 182/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.914524] [INFO] Processing chunk 183/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.914636] [INFO] Processing chunk 184/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.914758] [INFO] Processing chunk 185/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.914872] [INFO] Processing chunk 186/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.914971] [INFO] Processing chunk 187/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915064] [INFO] Processing chunk 188/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915158] [INFO] Processing chunk 189/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915250] [INFO] Processing chunk 190/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915345] [INFO] Processing chunk 191/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915439] [INFO] Processing chunk 192/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915535] [INFO] Processing chunk 193/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915630] [INFO] Processing chunk 194/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915725] [INFO] Processing chunk 195/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915821] [INFO] Processing chunk 196/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.915914] [INFO] Processing chunk 197/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.916009] [INFO] Processing chunk 198/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.916103] [INFO] Processing chunk 199/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.916868] [INFO] Processing chunk 200/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.917101] [INFO] Processing chunk 201/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.917282] [INFO] Processing chunk 202/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.917436] [INFO] Processing chunk 203/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.917563] [INFO] Processing chunk 204/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.917691] [INFO] Processing chunk 205/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.917875] [INFO] Processing chunk 206/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918019] [INFO] Processing chunk 207/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918133] [INFO] Processing chunk 208/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918241] [INFO] Processing chunk 209/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918390] [INFO] Processing chunk 210/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918485] [INFO] Processing chunk 211/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918577] [INFO] Processing chunk 212/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918667] [INFO] Processing chunk 213/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918758] [INFO] Processing chunk 214/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918848] [INFO] Processing chunk 215/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.918943] [INFO] Processing chunk 216/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919033] [INFO] Processing chunk 217/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919122] [INFO] Processing chunk 218/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919212] [INFO] Processing chunk 219/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919300] [INFO] Processing chunk 220/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919390] [INFO] Processing chunk 221/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919480] [INFO] Processing chunk 222/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919569] [INFO] Processing chunk 223/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919663] [INFO] Processing chunk 224/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919752] [INFO] Processing chunk 225/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919840] [INFO] Processing chunk 226/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.919929] [INFO] Processing chunk 227/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920017] [INFO] Processing chunk 228/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920105] [INFO] Processing chunk 229/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920192] [INFO] Processing chunk 230/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920282] [INFO] Processing chunk 231/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920379] [INFO] Processing chunk 232/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920467] [INFO] Processing chunk 233/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920556] [INFO] Processing chunk 234/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920646] [INFO] Processing chunk 235/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920733] [INFO] Processing chunk 236/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920827] [INFO] Processing chunk 237/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.920916] [INFO] Processing chunk 238/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921005] [INFO] Processing chunk 239/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921103] [INFO] Processing chunk 240/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921193] [INFO] Processing chunk 241/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921280] [INFO] Processing chunk 242/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921368] [INFO] Processing chunk 243/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921458] [INFO] Processing chunk 244/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921547] [INFO] Processing chunk 245/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921633] [INFO] Processing chunk 246/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921717] [INFO] Processing chunk 247/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921807] [INFO] Processing chunk 248/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921894] [INFO] Processing chunk 249/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.921980] [INFO] Processing chunk 250/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.922069] [INFO] Processing chunk 251/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.922155] [INFO] Processing chunk 252/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.922289] [INFO] Processing chunk 253/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.922386] [INFO] Processing chunk 254/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.922475] [INFO] Processing chunk 255/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.922563] [INFO] Processing chunk 256/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.922653] [INFO] Processing chunk 257/400 from drug-label-0001-of-0013.json
